ID;myPlantName;unit
52;Exhaust_TempCylAvg;C (high)
103;Various_Values_PosTurboBypass;%
19079;Exhaust_TCSpeedA;1000/min
19080;Exhaust_TCSpeedB;1000/min
89;TecJet_Lambda1;a/f
104;Various_Values_PressBoost;bar
107;Various_Values_SpeedAct;rpm
102;Power_PowerAct;kW
179;Count_Start;
161;Count_OpHour;
217;Hyd_PressCrankCase;mbar
69;Hyd_PressCoolWat;bar
81;Various_Values_TempMixture;C
21;Aux_RoomTemp;C
79;Various_Values_TempIntakeAir;C
112;Aux_PreChambDifPress;mbar
126;Ignition_ITPAvg;°KW
18307;Para_Leanox_Gas1_Para_PressurePoint1;mbar
18308;Para_Leanox_Gas1_Para_PressurePoint2;mbar
18312;Para_Leanox_Gas1_Para_TempPoint1;C
18313;Para_Leanox_Gas1_Para_TempPoint2;C
18305;Para_Leanox_Gas1_Para_PowerPoint1;kW
18306;Para_Leanox_Gas1_Para_PowerPoint2;kW
18309;Para_Leanox_Gas1_Para_SpeedPoint1;1/min
18310;Para_Leanox_Gas1_Para_SpeedPoint2;1/min
228;Hyd_OilCount_Trend_OilVolume;ml
227;Hyd_OilCount_Trend_OilConsumption;g/kWh
225;Hyd_OilCount_Trend_ActiveEnergy;
110;MMD_CountEnergAct;MWh
16546;Hyd_PressOilDif;bar
68;Hyd_PressOil;bar
71;Hyd_TempOil;C
16572;TecJet_GasDiffPress;mbar
16575;TecJet_GasPress1;mbar
16577;TecJet_GasTemp1;°C
16581;TecJet_ValvePos1;%
16574;TecJet_GasFlow1;
16547;Knock_KLS98_Knock_Cyl01;mV
16548;Knock_KLS98_Knock_Cyl02;mV
16549;Knock_KLS98_Knock_Cyl03;mV
16550;Knock_KLS98_Knock_Cyl04;mV
16551;Knock_KLS98_Knock_Cyl05;mV
16552;Knock_KLS98_Knock_Cyl06;mV
16553;Knock_KLS98_Knock_Cyl07;mV
16554;Knock_KLS98_Knock_Cyl08;mV
16555;Knock_KLS98_Knock_Cyl09;mV
16556;Knock_KLS98_Knock_Cyl10;mV
16557;Knock_KLS98_Knock_Cyl11;mV
16558;Knock_KLS98_Knock_Cyl12;mV
16559;Knock_KLS98_Knock_Cyl13;mV
16560;Knock_KLS98_Knock_Cyl14;mV
16561;Knock_KLS98_Knock_Cyl15;mV
16562;Knock_KLS98_Knock_Cyl16;mV
16563;Knock_KLS98_Knock_Cyl17;mV
16564;Knock_KLS98_Knock_Cyl18;mV
16565;Knock_KLS98_Knock_Cyl19;mV
16566;Knock_KLS98_Knock_Cyl20;mV
16567;Knock_KLS98_Knock_Cyl21;mV
16568;Knock_KLS98_Knock_Cyl22;mV
16569;Knock_KLS98_Knock_Cyl23;mV
16570;Knock_KLS98_Knock_Cyl24;mV
10008716;Knock_Valve_Noise_Cyl01;mV
10008714;Knock_Valve_Noise_Cyl02;mV
10008717;Knock_Valve_Noise_Cyl03;mV
10008719;Knock_Valve_Noise_Cyl04;mV
10008715;Knock_Valve_Noise_Cyl05;mV
10008718;Knock_Valve_Noise_Cyl06;mV
10008720;Knock_Valve_Noise_Cyl07;mV
10008721;Knock_Valve_Noise_Cyl08;mV
10008722;Knock_Valve_Noise_Cyl09;mV
10008723;Knock_Valve_Noise_Cyl10;mV
10008724;Knock_Valve_Noise_Cyl11;mV
10008728;Knock_Valve_Noise_Cyl12;mV
10008726;Knock_Valve_Noise_Cyl13;mV
10008729;Knock_Valve_Noise_Cyl14;mV
10008727;Knock_Valve_Noise_Cyl15;mV
10008730;Knock_Valve_Noise_Cyl16;mV
10008725;Knock_Valve_Noise_Cyl17;mV
10008732;Knock_Valve_Noise_Cyl18;mV
10008733;Knock_Valve_Noise_Cyl19;mV
